Timestamp,Device ID,Channel,Sensor Name,Sensor ID,Data Type,Unit,Value
2022-04-21T01:45:52.480Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,20,Muestra,0ae9a8e0-a288-11ec-9f5b-45181495093e,ANALOG,null,1354
2022-04-21T01:45:52.406Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,16,Oxigeno - I,084c96d0-bf87-11ec-9f5b-45181495093e,DIGITAL,p,20.67300033569336
2022-04-21T01:45:52.174Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,14,Temp. Matriz II,0807e5b0-a288-11ec-8da3-474359af83d7,temp,c,23.25
2022-04-21T01:45:52.066Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,13,Temp. Matriz I,07243c70-a288-11ec-8da3-474359af83d7,temp,c,23
2022-04-21T01:45:51.769Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,17,Temp. amb II,08a8b990-a288-11ec-8da3-474359af83d7,temp,c,23.200000762939453
2022-04-21T01:45:51.768Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,12,Hum. Rel. I,2de1de10-a285-11ec-8da3-474359af83d7,rel_hum,p,61.900001525878906
2022-04-21T01:45:51.767Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,18,Hum. Rel. II,0a5d6e70-a288-11ec-9f5b-45181495093e,rel_hum,p,59.79999923706055
2022-04-21T01:45:51.548Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,11,Temp. amb I,445c1c00-a285-11ec-8da3-474359af83d7,temp,c,23.100000381469727
2022-04-21T01:44:22.371Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,20,Muestra,0ae9a8e0-a288-11ec-9f5b-45181495093e,ANALOG,null,1353
2022-04-21T01:44:22.369Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,19,Oxigeno - II,08fd4930-bf87-11ec-9f5b-45181495093e,DIGITAL,p,20.81599998474121
2022-04-21T01:44:22.283Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,16,Oxigeno - I,084c96d0-bf87-11ec-9f5b-45181495093e,DIGITAL,p,20.65999984741211
2022-04-21T01:44:22.198Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,13,Temp. Matriz I,07243c70-a288-11ec-8da3-474359af83d7,temp,c,22.875
2022-04-21T01:44:22.164Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,14,Temp. Matriz II,0807e5b0-a288-11ec-8da3-474359af83d7,temp,c,23.25
2022-04-21T01:44:22.025Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,17,Temp. amb II,08a8b990-a288-11ec-8da3-474359af83d7,temp,c,23.200000762939453
2022-04-21T01:44:21.657Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,18,Hum. Rel. II,0a5d6e70-a288-11ec-9f5b-45181495093e,rel_hum,p,59.70000076293945
2022-04-21T01:44:21.654Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,12,Hum. Rel. I,2de1de10-a285-11ec-8da3-474359af83d7,rel_hum,p,61.70000076293945
2022-04-21T01:44:21.464Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,11,Temp. amb I,445c1c00-a285-11ec-8da3-474359af83d7,temp,c,23.200000762939453
2022-04-21T01:42:52.358Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,20,Muestra,0ae9a8e0-a288-11ec-9f5b-45181495093e,ANALOG,null,1352
2022-04-21T01:42:52.356Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,19,Oxigeno - II,08fd4930-bf87-11ec-9f5b-45181495093e,DIGITAL,p,20.819000244140625
2022-04-21T01:42:52.180Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,16,Oxigeno - I,084c96d0-bf87-11ec-9f5b-45181495093e,DIGITAL,p,20.6560001373291
2022-04-21T01:42:52.084Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,14,Temp. Matriz II,0807e5b0-a288-11ec-8da3-474359af83d7,temp,c,23.25
2022-04-21T01:42:51.963Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,13,Temp. Matriz I,07243c70-a288-11ec-8da3-474359af83d7,temp,c,22.875
2022-04-21T01:42:51.707Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,12,Hum. Rel. I,2de1de10-a285-11ec-8da3-474359af83d7,rel_hum,p,61.599998474121094
2022-04-21T01:42:51.604Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,18,Hum. Rel. II,0a5d6e70-a288-11ec-9f5b-45181495093e,rel_hum,p,59.599998474121094
2022-04-21T01:42:51.539Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,17,Temp. amb II,08a8b990-a288-11ec-8da3-474359af83d7,temp,c,23.200000762939453
2022-04-21T01:42:51.367Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,11,Temp. amb I,445c1c00-a285-11ec-8da3-474359af83d7,temp,c,23.200000762939453
2022-04-21T01:41:22.438Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,19,Oxigeno - II,08fd4930-bf87-11ec-9f5b-45181495093e,DIGITAL,p,20.81599998474121
2022-04-21T01:41:22.355Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,20,Muestra,0ae9a8e0-a288-11ec-9f5b-45181495093e,ANALOG,null,1351
2022-04-21T01:41:22.285Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,16,Oxigeno - I,084c96d0-bf87-11ec-9f5b-45181495093e,DIGITAL,p,20.6560001373291
2022-04-21T01:41:21.939Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,14,Temp. Matriz II,0807e5b0-a288-11ec-8da3-474359af83d7,temp,c,23.25
2022-04-21T01:41:21.791Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,13,Temp. Matriz I,07243c70-a288-11ec-8da3-474359af83d7,temp,c,22.875
2022-04-21T01:41:21.434Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,17,Temp. amb II,08a8b990-a288-11ec-8da3-474359af83d7,temp,c,23.299999237060547
2022-04-21T01:41:21.432Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,18,Hum. Rel. II,0a5d6e70-a288-11ec-9f5b-45181495093e,rel_hum,p,59.400001525878906
2022-04-21T01:41:21.431Z,5d6a6ac0-a263-11ec-a681-73c9540e1265,12,Hum. Rel. I,2de1de10-a285-11ec-8da3-474359af83d7,rel_hum,p,61.599998474121094
